time freq rssi
# Channel sounding of a Kenwood FreeTalk UBZ-AL14 FM Transceiver.
# Channels 1 through 14 are sounded in sequence, with gaps in between.
001 901.803 065
001 902.003 063
001 902.203 057
001 902.403 061
001 902.603 060
001 902.803 063
001 903.003 065
001 903.203 063
001 903.403 058
001 903.603 061
001 903.803 063
001 904.003 059
001 904.203 064
001 904.403 066
001 904.603 061
001 904.802 061
001 905.002 066
001 905.202 063
001 905.402 066
001 905.602 060
001 905.802 065
001 906.002 056
001 906.202 059
001 906.402 057
001 906.602 062
001 906.802 063
001 907.002 062
001 907.202 060
001 907.402 065
001 907.602 063
001 907.802 062
001 908.002 063
001 908.202 060
001 908.402 064
001 908.602 064
001 908.801 063
001 909.001 061
001 909.201 062
001 909.401 064
001 909.601 069
001 909.801 064
001 910.001 080
001 910.201 060
001 910.401 065
001 910.601 066
001 910.801 061
001 911.001 064
001 911.201 059
001 911.401 063
001 911.601 059
001 911.801 062
001 912.001 065
001 912.201 065
001 912.401 057
001 912.601 059
001 912.801 062
001 913.000 066
001 913.200 060
001 913.400 060
001 913.600 067
001 913.800 065
001 914.000 064
001 914.200 061
001 914.400 067
001 914.600 063
001 914.800 065
001 915.000 061
001 915.200 060
001 915.400 066
001 915.600 065
001 915.800 064
001 916.000 059
001 916.200 062
001 916.400 065
001 916.600 059
001 916.800 067
001 916.999 066
001 917.199 062
001 917.399 059
001 917.599 061
001 917.799 066
001 917.999 062
001 918.199 065
001 918.399 062
001 918.599 062
001 918.799 058
001 918.999 061
001 919.199 066
001 919.399 059
001 919.599 062
001 919.799 062
001 919.999 065
001 920.199 060
001 920.399 066
001 920.599 058
001 920.799 063
001 920.999 066
001 921.198 065
001 921.398 056
001 921.598 064
001 921.798 065
001 921.998 061
001 922.198 060
001 922.398 061
001 922.598 066
001 922.798 063
001 922.998 077
001 923.198 065
001 923.398 059
001 923.598 066
001 923.798 063
001 923.998 068
001 924.198 064
001 924.398 065
001 924.598 059
001 924.798 063
001 924.998 058
001 925.197 060
001 925.397 061
001 925.597 066
001 925.797 064
001 925.997 060
001 926.197 064
001 926.397 066
001 926.597 063
001 926.797 062
001 926.997 062
001 927.197 065
001 927.397 065
001 927.597 059
001 927.797 065
001 927.997 058

002 901.803 065
002 902.003 065
002 902.203 062
002 902.403 065
002 902.603 065
002 902.803 063
002 903.003 064
002 903.203 063
002 903.403 059
002 903.603 057
002 903.803 063
002 904.003 062
002 904.203 064
002 904.403 062
002 904.603 060
002 904.802 063
002 905.002 063
002 905.202 067
002 905.402 064
002 905.602 057
002 905.802 064
002 906.002 059
002 906.202 059
002 906.402 062
002 906.602 065
002 906.802 066
002 907.002 058
002 907.202 061
002 907.402 063
002 907.602 066
002 907.802 055
002 908.002 062
002 908.202 064
002 908.402 057
002 908.602 060
002 908.801 061
002 909.001 060
002 909.201 062
002 909.401 062
002 909.601 066
002 909.801 065
002 910.001 079
002 910.201 065
002 910.401 061
002 910.601 063
002 910.801 063
002 911.001 060
002 911.201 062
002 911.401 063
002 911.601 060
002 911.801 067
002 912.001 068
002 912.201 060
002 912.401 063
002 912.601 062
002 912.801 063
002 913.000 063
002 913.200 062
002 913.400 054
002 913.600 059
002 913.800 061
002 914.000 061
002 914.200 066
002 914.400 065
002 914.600 063
002 914.800 063
002 915.000 062
002 915.200 060
002 915.400 064
002 915.600 063
002 915.800 065
002 916.000 062
002 916.200 059
002 916.400 061
002 916.600 061
002 916.800 063
002 916.999 060
002 917.199 062
002 917.399 059
002 917.599 061
002 917.799 062
002 917.999 062
002 918.199 067
002 918.399 064
002 918.599 064
002 918.799 059
002 918.999 057
002 919.199 062
002 919.399 056
002 919.599 064
002 919.799 063
002 919.999 061
002 920.199 067
002 920.399 062
002 920.599 061
002 920.799 061
002 920.999 058
002 921.198 061
002 921.398 067
002 921.598 061
002 921.798 064
002 921.998 056
002 922.198 060
002 922.398 063
002 922.598 069
002 922.798 062
002 922.998 075
002 923.198 070
002 923.398 060
002 923.598 061
002 923.798 061
002 923.998 062
002 924.198 063
002 924.398 061
002 924.598 065
002 924.798 060
002 924.998 063
002 925.197 059
002 925.397 065
002 925.597 062
002 925.797 063
002 925.997 062
002 926.197 063
002 926.397 058
002 926.597 065
002 926.797 061
002 926.997 065
002 927.197 059
002 927.397 057
002 927.597 064
002 927.797 063
002 927.997 065

003 901.803 061
003 902.003 065
003 902.203 055
003 902.403 060
003 902.603 059
003 902.803 061
003 903.003 064
003 903.203 063
003 903.403 063
003 903.603 063
003 903.803 060
003 904.003 067
003 904.203 062
003 904.403 066
003 904.603 063
003 904.802 065
003 905.002 067
003 905.202 066
003 905.402 056
003 905.602 064
003 905.802 064
003 906.002 061
003 906.202 063
003 906.402 063
003 906.602 059
003 906.802 060
003 907.002 063
003 907.202 066
003 907.402 058
003 907.602 061
003 907.802 064
003 908.002 059
003 908.202 059
003 908.402 062
003 908.602 058
003 908.801 065
003 909.001 057
003 909.201 064
003 909.401 054
003 909.601 063
003 909.801 063
003 910.001 084
003 910.201 065
003 910.401 064
003 910.601 064
003 910.801 067
003 911.001 065
003 911.201 063
003 911.401 061
003 911.601 056
003 911.801 064
003 912.001 062
003 912.201 062
003 912.401 060
003 912.601 060
003 912.801 062
003 913.000 066
003 913.200 065
003 913.400 059
003 913.600 059
003 913.800 062
003 914.000 064
003 914.200 058
003 914.400 062
003 914.600 061
003 914.800 060
003 915.000 056
003 915.200 063
003 915.400 069
003 915.600 060
003 915.800 063
003 916.000 062
003 916.200 062
003 916.400 062
003 916.600 062
003 916.800 065
003 916.999 060
003 917.199 061
003 917.399 057
003 917.599 060
003 917.799 060
003 917.999 063
003 918.199 059
003 918.399 060
003 918.599 061
003 918.799 058
003 918.999 063
003 919.199 058
003 919.399 061
003 919.599 063
003 919.799 060
003 919.999 064
003 920.199 060
003 920.399 062
003 920.599 060
003 920.799 061
003 920.999 057
003 921.198 063
003 921.398 053
003 921.598 060
003 921.798 059
003 921.998 060
003 922.198 065
003 922.398 064
003 922.598 064
003 922.798 056
003 922.998 081
003 923.198 061
003 923.398 061
003 923.598 065
003 923.798 061
003 923.998 057
003 924.198 061
003 924.398 058
003 924.598 063
003 924.798 063
003 924.998 064
003 925.197 058
003 925.397 059
003 925.597 061
003 925.797 064
003 925.997 061
003 926.197 060
003 926.397 060
003 926.597 064
003 926.797 066
003 926.997 066
003 927.197 057
003 927.397 065
003 927.597 071
003 927.797 064
003 927.997 060

004 901.803 064
004 902.003 063
004 902.203 063
004 902.403 063
004 902.603 062
004 902.803 061
004 903.003 065
004 903.203 062
004 903.403 066
004 903.603 062
004 903.803 064
004 904.003 060
004 904.203 061
004 904.403 062
004 904.603 060
004 904.802 064
004 905.002 066
004 905.202 061
004 905.402 065
004 905.602 064
004 905.802 063
004 906.002 068
004 906.202 061
004 906.402 064
004 906.602 063
004 906.802 057
004 907.002 062
004 907.202 065
004 907.402 060
004 907.602 065
004 907.802 061
004 908.002 060
004 908.202 061
004 908.402 065
004 908.602 057
004 908.801 064
004 909.001 061
004 909.201 066
004 909.401 062
004 909.601 059
004 909.801 065
004 910.001 087
004 910.201 067
004 910.401 061
004 910.601 058
004 910.801 061
004 911.001 064
004 911.201 059
004 911.401 061
004 911.601 054
004 911.801 064
004 912.001 067
004 912.201 066
004 912.401 063
004 912.601 065
004 912.801 061
004 913.000 066
004 913.200 063
004 913.400 068
004 913.600 066
004 913.800 066
004 914.000 057
004 914.200 058
004 914.400 065
004 914.600 061
004 914.800 061
004 915.000 065
004 915.200 065
004 915.400 064
004 915.600 069
004 915.800 059
004 916.000 061
004 916.200 065
004 916.400 060
004 916.600 061
004 916.800 066
004 916.999 059
004 917.199 060
004 917.399 062
004 917.599 065
004 917.799 066
004 917.999 060
004 918.199 062
004 918.399 067
004 918.599 056
004 918.799 064
004 918.999 066
004 919.199 068
004 919.399 062
004 919.599 061
004 919.799 061
004 919.999 061
004 920.199 063
004 920.399 058
004 920.599 058
004 920.799 064
004 920.999 065
004 921.198 065
004 921.398 058
004 921.598 060
004 921.798 057
004 921.998 064
004 922.198 055
004 922.398 067
004 922.598 065
004 922.798 056
004 922.998 074
004 923.198 061
004 923.398 064
004 923.598 061
004 923.798 064
004 923.998 065
004 924.198 059
004 924.398 058
004 924.598 063
004 924.798 064
004 924.998 061
004 925.197 064
004 925.397 064
004 925.597 067
004 925.797 060
004 925.997 066
004 926.197 060
004 926.397 062
004 926.597 062
004 926.797 063
004 926.997 059
