quantity,part,description
2,GRM1885C1H361JA01D,CAP CER 360PF 0603
53,C0603C104K5RACTU,CAP CER 0.1UF 50V 10% X7R 0603
9,C1608X5R1H105K080AB,CAP CER 1UF 50V 10% X5R 0603
4,UWT1V101MCL1GS,CAP ALUM 100UF 35V 20% SMD
2,UMN1NTR,DIODE ARRAY 80V 25MA UMD
2,UMP1NTR,DIODE ARRAY 80V 25MA UMD5
2,B140-13-F,Schottky Diode 40V 1A SMA
4,LM339PT,IC COMP QUAD CMOS MCRPWR 14TSSOP
1,BH2228FV-E2,IC DAC 8BIT 6-CHAN SSOP-B14
1,AD5290YRMZ100,IC DGTL POT 100K 256POS 10MSOP
1,5M80ZT100C5N,IC MAX V CPLD 80 LE 100-TQFP
8,DG408DQ-T1-E3,IC MULTIPLEXER 8X1 16TSSOP
5,DG409DQ-T1-E3,IC MUX CMOS ANG DUAL 8CH 16TSSOP
4,MC4558CPT,IC OP AMP DUAL BIPOLAR 8-TSSOP
2,MC34063ACD-TR,IC REG BUCK BOOST INV ADJ 8SOIC
1,AP7313-18SAG-7,IC REG LDO 1.8V 0.15A SOT23-3
2,SDR0603-151KL,INDUCTOR POWER 150UH 10% SMD
1,LG Q971-KN-1,0603 LED
1,DMP2100U-7,MOSFET P CH 20V 4.3A SOT23
1,ERJ-3RQFR62V,RES 0.62 OHM 0603
1,ERJ-3RQFR75V,RES 0.75 OHM 0603
6,ERJ-3EKF22R0V,RES 22 OHM 1/10W 5% 0603
1,ERJ-3EKF1800V,RES 180 OHM 0603
1,ERJ-3EKF4700V,RES 470 OHM 1/10W 5% 0603
2,ERJ-3EKF1001V,RES 1K OHM 0603
2,ERJ-3EKF1801V,RES 1.8K OHM 0603
8,ERJ-3EKF1002V,RES 10K OHM 0603
8,ERJ-3EKF1132V,RES 11.3K OHM 0603
4,ERJ-3EKF1272V,RES 12.7K OHM 0603
2,ERJ-3EKF2202V,RES 22K OHM 0603
2,ERJ-3EKF3902V,RES 39K OHM 0603
2,ERJ-3EKF6802V,RES 68K OHM 0603
1,ERJ-3EKF1003V,RES 100K OHM 0603
4,ERJ-3EKF1133V,RES 113K OHM 0603
6,ERJ-3EKF1273V,RES 127K OHM 0603
1,ERJ-3EKF2003V,RES 200K OHM 0603
1,ERJ-3EKF3003V,RES 300K OHM 0603
1,ERJ-3EKF4023V,RES 402K OHM 0603
2,ERJ-3EKF6803V,RES 680K OHM 0603
1,ERJ-3EKF8063V,RES 806K OHM 0603
1,ERJ-3EKF1204V,RES 1.2M OHM 0603
24,ERJ-2GE0R00X,SMD 0402 Zero Ohms
16,ERJ-2RKF4992X,RES 49.9K OHM 0402
8,ERJ-2RKF1002X,RES 10K OHM 0402
16,ERJ-2RKF2493X,RES 249K OHM 0402
1,RJHSE-5380,RJ45 Jack
1,76385-307LF,14P VERT HDR MALE SHRD
1,66953-007LF,14P VERT HDR FEMALY UNSHRD
