"time","db0","db1","db2","db3","db4","db5","db6","db7"
1358389761.83840,240,1,21,0,99,0,0,0
1358389761.88658,240,1,21,0,99,0,0,0
1358389761.98229,240,1,21,0,99,0,0,0
1358389762.12633,240,1,21,0,99,0,0,0
1358389762.17440,240,1,21,0,99,0,0,0
1358389762.22259,240,1,21,0,99,0,0,0
1358389762.31745,240,1,21,0,99,0,0,0
1358389762.36537,240,1,21,0,99,0,0,0
1358389762.41329,240,1,21,0,99,0,0,0
1358389762.46141,240,1,21,0,99,0,0,0
1358389762.55736,240,1,21,0,99,0,0,0
1358389762.65342,240,1,21,0,99,0,0,0
1358389762.70140,240,1,21,0,99,0,0,0
1358389762.79734,240,1,21,0,99,0,0,0
1358389762.84538,240,1,21,0,99,0,0,0
1358389762.89367,240,1,21,0,99,0,0,0
1358389762.94143,240,1,21,0,99,0,0,0
1358389763.03740,240,1,21,0,99,0,0,0
1358389763.08561,240,1,21,0,99,0,0,0
1358389763.13338,240,1,21,0,99,0,0,0
1358389763.18149,240,1,21,0,99,0,0,0
1358389763.27756,16,0,226,0,99,0,0,0
1358389763.42139,16,0,226,0,99,0,0,0
1358389763.46943,16,0,226,0,99,0,0,0
1358389763.51770,16,0,226,0,99,0,0,0
1358389763.56570,16,0,226,0,99,0,0,0
1358389763.61343,16,0,226,0,99,0,0,0
1358389763.66142,16,0,226,0,99,0,0,0
1358389763.70946,16,0,226,0,99,0,0,0
1358389763.75739,16,0,226,0,99,0,0,0
1358389763.80573,16,0,226,0,100,0,0,0
1358389763.85353,16,0,226,0,104,0,0,0
1358389763.90155,16,0,226,0,109,0,0,0
1358389763.94923,16,0,226,0,114,0,0,0
1358389763.99747,16,0,226,0,120,0,0,0
1358389764.04543,16,0,226,0,127,0,0,0
1358389764.09356,16,0,226,0,135,0,0,0
1358389764.14137,16,0,226,0,143,0,0,0
1358389764.18941,16,0,226,0,152,0,0,0
1358389764.23739,16,0,226,0,155,0,0,0
1358389764.28553,16,0,226,0,165,0,0,0
1358389764.33344,16,0,226,0,167,0,0,0
1358389764.38145,16,0,226,0,167,0,0,0
1358389764.42969,16,0,226,0,196,0,0,0
1358389764.47742,16,0,226,0,196,0,0,0
1358389764.52527,16,0,226,0,196,0,0,0
1358389764.57340,16,0,226,0,196,0,0,0
1358389764.62171,16,0,226,0,196,0,0,0
1358389764.66966,16,0,226,0,196,0,0,0
1358389764.71742,16,0,226,0,196,0,0,0
1358389764.76542,16,0,226,0,196,0,0,0
1358389764.81338,16,0,226,0,196,0,0,0
1358389764.86136,16,0,226,0,196,0,0,0
1358389764.90969,241,1,21,0,196,0,0,0
1358389764.95738,241,1,21,0,196,0,0,0
1358389765.05351,241,1,21,0,196,0,0,0
1358389765.10139,241,1,21,0,196,0,0,0
1358389765.14982,241,1,21,0,196,0,0,0
1358389765.19738,241,1,21,0,186,0,0,0
1358389765.29339,241,1,21,0,144,0,0,0
1358389765.34140,241,1,21,0,127,0,0,0
1358389765.38933,241,1,21,0,112,0,0,0
1358389765.67699,241,1,21,0,99,0,0,0
1358389766.06065,241,1,21,0,99,0,0,0
1358389766.15640,241,1,21,0,99,0,0,0
1358389766.44450,241,1,21,0,99,0,0,0
1358389766.54041,241,1,21,0,99,0,0,0
1358389766.92437,1,1,21,0,99,0,0,0
1358389767.11664,1,1,21,0,99,0,0,0
1358389767.50049,1,1,21,0,99,0,0,0
1358389767.59638,1,1,21,0,99,0,0,0
1358389767.69240,1,1,21,0,101,0,0,0
1358389767.88446,1,1,21,0,114,0,0,0
1358389767.98041,1,1,21,0,132,0,0,0
1358389768.07654,1,1,21,0,153,0,0,0
1358389768.36385,1,1,21,0,196,0,0,0
1358389768.55530,1,1,21,0,196,0,0,0
1358389768.65148,1,1,21,0,196,0,0,0
1358389768.74745,1,1,21,0,196,0,0,0
