1352063315.28,34 ,a0 ,a3 ,0a ,05 ,38 ,57 ,8d 
1352063315.38,34 ,60 ,a3 ,4a ,05 ,1a ,50 ,af 
1352063315.53,34 ,20 ,a3 ,0a ,05 ,38 ,57 ,8d 
1352063315.57,34 ,e0 ,a3 ,4a ,05 ,38 ,53 ,85 
1352063315.61,34 ,a0 ,a3 ,0a ,05 ,38 ,57 ,8d 
1352063315.65,34 ,a0 ,a3 ,4a ,05 ,38 ,57 ,8d 
1352063315.68,34 ,a0 ,a3 ,0a ,05 ,38 ,57 ,af 
1352063315.82,34 ,60 ,a3 ,4a ,05 ,1a ,50 ,af 
1352063315.85,34 ,a0 ,a3 ,0a ,05 ,38 ,57 ,8d 
1352063315.89,34 ,e0 ,a3 ,4a ,05 ,38 ,53 ,85 
1352063315.92,34 ,a0 ,a3 ,0a ,05 ,38 ,57 ,8d 
1352063315.95,34 ,e0 ,a3 ,4a ,05 ,38 ,53 ,85 
1352063315.98,34 ,a0 ,a3 ,0a ,05 ,38 ,57 ,af 
1352063316.27,34 ,e0 ,a3 ,4a ,05 ,38 ,d7 ,8d 
1352063316.57,34 ,a0 ,a3 ,4a ,05 ,38 ,57 ,8d 
1352063316.62,34 ,e0 ,a3 ,4a ,05 ,38 ,53 ,85 
1352063316.69,34 ,a0 ,a3 ,4a ,05 ,38 ,57 ,8d 
1352063316.75,34 ,e0 ,a3 ,4a ,05 ,38 ,53 ,85 
